Date,ACN,AMZN,COST,DIS,F,GILD,JPM,KO,LUV,MA,MSFT,PFE,TSLA,UNH,XOM
2017-04-04,102.82169342041016,45.34149932861328,142.7310028076172,106.4743881225586,7.1409382820129395,48.87042236328125,69.35836029052734,32.693634033203125,47.90311050415039,106.6243667602539,59.60303497314453,22.192829132080078,20.246667861938477,144.48875427246094,55.534461975097656
2017-04-05,102.47328186035156,45.4640007019043,142.51768493652344,106.43670654296875,7.071854114532471,48.4983024597168,68.46866607666016,32.60935974121094,48.15585708618164,106.81500244140625,59.4488639831543,22.09589385986328,19.666667938232422,144.83909606933594,55.64232635498047
2017-04-06,101.7502670288086,44.91400146484375,145.09490966796875,106.48381042480469,7.0781331062316895,48.5056037902832,68.69902038574219,32.685970306396484,48.18293762207031,107.15811920166016,59.60303497314453,22.044187545776367,19.913333892822266,144.81275939941406,55.965938568115234
2017-04-07,102.29905700683594,44.74399948120117,145.60696411132812,106.04110717773438,7.053009986877441,48.57856369018555,68.4607162475586,32.63999938964844,49.2299919128418,106.97701263427734,59.55769348144531,22.037717819213867,20.16933250427246,145.4083251953125,55.79738998413086
2017-04-10,102.64746856689453,45.35200119018555,146.11903381347656,105.89981842041016,7.065573692321777,48.46182632446289,68.22239685058594,32.7012825012207,48.9411506652832,107.05326843261719,59.42166519165039,21.998952865600586,20.826000213623047,144.9353790283203,56.046852111816406
2017-04-11,102.16342163085938,45.11800003051758,145.61553955078125,106.50263977050781,7.084414005279541,48.16997528076172,68.10325622558594,32.678306579589844,49.69936752319336,106.85311889648438,59.376319885253906,21.927860260009766,20.58066749572754,145.2419891357422,55.851322174072266
2017-04-12,101.72337341308594,44.811500549316406,145.22293090820312,106.4743881225586,7.053009986877441,48.31589889526367,67.84111022949219,32.89277648925781,50.10554885864258,106.2431411743164,59.149627685546875,21.921396255493164,19.78933334350586,145.00546264648438,55.93898391723633
2017-04-13,101.08966827392578,44.23350143432617,144.0879364013672,106.62509155273438,6.977644920349121,48.52749252319336,67.04668426513672,32.777889251708984,49.02238845825195,106.00486755371094,58.895729064941406,21.895545959472656,20.266666412353516,144.4800262451172,55.07598876953125
2017-04-17,101.84658813476562,45.0994987487793,144.8218231201172,107.1714096069336,7.084414005279541,48.66612243652344,68.20650482177734,32.992374420166016,49.39247131347656,107.3868637084961,59.376319885253906,21.973100662231445,20.09600067138672,146.42437744140625,55.0018310546875
2017-04-18,102.3042221069336,45.18899917602539,145.1888427734375,107.5575942993164,7.090778350830078,48.19916534423828,67.6504135131836,33.30643081665039,49.121673583984375,107.24388122558594,59.29471206665039,21.869693756103516,20.016666412353516,147.6593017578125,54.644500732421875
2017-04-19,102.92912292480469,44.959999084472656,145.12908935546875,107.12431335449219,7.122605800628662,48.35969161987305,67.09437561035156,33.11493682861328,49.32928466796875,107.02471160888672,58.97732925415039,21.721059799194336,20.368000030517578,148.2373809814453,54.26693344116211
2017-04-20,104.9181900024414,45.10300064086914,145.2058563232422,108.12274932861328,7.30082893371582,48.520206451416016,67.96024322509766,33.007686614990234,50.50271987915039,109.21685028076172,59.394447326660156,21.80507469177246,20.167333602905273,150.24310302734375,54.61753845214844
2017-04-21,104.9357681274414,44.92649841308594,145.73500061035156,107.79308319091797,7.218080520629883,48.10430145263672,67.14199829101562,32.992374420166016,50.21387481689453,108.91184997558594,60.21055603027344,21.740446090698242,20.373332977294922,149.9102325439453,54.401798248291016
2017-04-24,105.05017852783203,45.37049865722656,147.06634521484375,107.0960464477539,7.275366306304932,48.33778762817383,69.50929260253906,33.15323257446289,50.99013900756836,110.27479553222656,61.23522186279297,21.80507469177246,20.53533363342285,150.93496704101562,54.6849479675293
2017-04-25,104.46049499511719,45.38100051879883,147.364990234375,108.49009704589844,7.307193756103516,48.97257614135742,70.113037109375,33.023014068603516,51.531715393066406,110.68460083007812,61.58885955810547,21.817995071411133,20.91933250427246,152.4326934814453,55.102962493896484
2017-04-26,104.71575164794922,45.464500427246094,150.88099670410156,108.8668441772461,7.383575916290283,49.7751579284668,70.24809265136719,33.122589111328125,51.39633560180664,110.72273254394531,61.50726318359375,21.876155853271484,20.67799949645996,152.73046875,54.88045883178711
2017-04-27,106.04470825195312,45.91899871826172,151.43568420410156,109.11174774169922,7.30082893371582,50.03782653808594,69.59668731689453,32.946414947509766,50.32218551635742,111.6091537475586,61.90626525878906,21.88262367248535,20.575332641601562,152.94944763183594,54.78609085083008
2017-04-28,106.75761413574219,46.2495002746582,151.49542236328125,108.88569641113281,7.30082893371582,50.01594161987305,69.11209106445312,33.05366134643555,50.746429443359375,110.86571502685547,62.078521728515625,21.921396255493164,20.937999725341797,153.16844177246094,55.04903030395508
2017-05-01,106.7136001586914,47.4114990234375,151.7855682373047,108.06623840332031,7.269002437591553,49.69489669799805,69.1597671508789,33.107276916503906,50.800594329833984,110.91338348388672,62.93999099731445,21.83091926574707,21.52199935913086,152.91439819335938,55.325435638427734
2017-05-02,106.21195983886719,47.34700012207031,152.40855407714844,107.72714233398438,6.950744152069092,50.04512023925781,68.71491241455078,33.23749923706055,52.6510009765625,112.58132934570312,62.840232849121094,21.721059799194336,21.25933265686035,152.520263671875,55.31871032714844
2017-05-03,105.87749481201172,47.05149841308594,153.458251953125,105.13687133789062,7.046222686767578,49.03823471069336,69.11209106445312,33.18388366699219,52.49755096435547,111.82835388183594,62.640743255615234,21.630577087402344,20.73466682434082,151.11891174316406,55.75693893432617
2017-05-04,106.33516693115234,46.87649917602539,155.7027130126953,104.71299743652344,7.001666069030762,49.673011779785156,69.19156646728516,33.44431686401367,52.6600227355957,112.39068603515625,62.39590835571289,21.617650985717773,19.69733238220215,152.4151611328125,55.04228973388672
2017-05-05,106.95123291015625,46.70750045776367,153.7825164794922,105.48535919189453,7.090778350830078,49.46871566772461,69.11209106445312,33.467288970947266,52.71418380737305,111.9903793334961,62.568199157714844,21.637035369873047,20.55666732788086,152.50274658203125,55.29846954345703
2017-05-08,106.59039306640625,47.45199966430664,153.2853240966797,104.94847869873047,7.084412097930908,49.03823471069336,69.19156646728516,33.62049865722656,51.88375473022461,111.1421127319336,62.513797760009766,21.617650985717773,20.479333877563477,152.78298950195312,55.88503646850586
2017-05-09,106.55517578125,47.64099884033203,153.3208770751953,105.56072235107422,7.103508472442627,49.330078125,68.91351318359375,33.32942199707031,52.605873107910156,110.9515151977539,62.60447692871094,21.57240867614746,21.417333602905273,151.73202514648438,55.4940185546875
2017-05-10,106.66959381103516,47.4474983215332,152.5817413330078,103.29071044921875,7.027126312255859,48.82664108276367,69.45370483398438,33.37537384033203,52.68709945678711,111.18025970458984,62.849308013916016,21.552833557128906,21.681333541870117,151.8634033203125,55.74580764770508
2017-05-11,106.31754302978516,47.38100051879883,152.50161743164062,103.21534729003906,7.008031368255615,48.673423767089844,69.23919677734375,33.45198059082031,52.43436050415039,111.06587219238281,62.078521728515625,21.559358596801758,21.540000915527344,151.80209350585938,56.222206115722656
2017-05-12,106.45835876464844,48.067501068115234,152.16323852539062,103.3189697265625,6.950744152069092,48.19916534423828,69.04855346679688,33.39069366455078,51.6490592956543,111.63772583007812,62.006011962890625,21.53978157043457,21.65399932861328,150.4795379638672,56.18138122558594
2017-05-15,107.59370422363281,47.89849853515625,152.7776641845703,102.79148864746094,6.963475704193115,48.11890411376953,69.3822021484375,33.49794387817383,52.38020324707031,112.66709899902344,62.051326751708984,21.611562728881836,21.058666229248047,150.2342987060547,56.351531982421875
2017-05-16,108.37699890136719,48.30350112915039,152.2701416015625,101.70829010009766,6.963475704193115,47.95108413696289,69.59668731689453,33.5898551940918,52.59684753417969,112.93394470214844,63.300750732421875,21.272249221801758,21.134000778198242,147.2476806640625,56.18138122558594
2017-05-17,106.00071716308594,47.237998962402344,150.62274169921875,100.13528442382812,6.848903179168701,47.0682487487793,66.94342041015625,33.65114212036133,51.48658752441406,111.32321166992188,61.54064178466797,21.03081703186035,20.407333374023438,147.895751953125,55.800254821777344
2017-05-18,105.96550750732422,47.92449951171875,152.020751953125,100.48381042480469,6.867997169494629,47.0098762512207,66.69715881347656,33.551570892333984,51.712249755859375,110.78945922851562,61.750396728515625,21.024295806884766,20.87066650390625,150.1642303466797,55.636924743652344
2017-05-19,106.4759750366211,47.992000579833984,152.8399658203125,101.27499389648438,6.918920516967773,46.86395263671875,67.34856414794922,33.628173828125,52.38923645019531,112.06663513183594,61.73212814331055,21.180898666381836,20.722000122070312,151.1627197265625,55.75943374633789
2017-05-22,107.9985580444336,48.53350067138672,153.51670837402344,101.37860107421875,7.065318584442139,46.958797454833984,67.28502655029297,33.842655181884766,53.18355178833008,113.4200668334961,62.425254821777344,20.95903778076172,20.690000534057617,153.01075744628906,56.004425048828125
2017-05-23,107.50569152832031,48.57699966430664,153.5790557861328,100.80403137207031,7.033492565155029,47.199581146240234,68.12705993652344,34.00351333618164,53.833465576171875,113.99191284179688,62.6349983215332,20.972091674804688,20.257333755493164,153.4661865234375,56.20180130004883
2017-05-24,107.32965850830078,49.01750183105469,154.05992126464844,101.45396423339844,6.9762043952941895,46.92230224609375,68.08734893798828,34.49376678466797,53.779300689697266,115.04032135009766,62.71705627441406,20.913362503051758,20.681333541870117,153.79026794433594,56.004425048828125
2017-05-25,108.3418197631836,49.66899871826172,155.59153747558594,101.03952026367188,6.912553787231445,47.10472106933594,67.80136108398438,34.78486251831055,54.98883056640625,116.203125,63.492279052734375,20.985143661499023,21.121999740600586,155.94480895996094,55.636924743652344
2017-05-26,108.15699768066406,49.78900146484375,158.37869262695312,102.1133041381836,6.957112789154053,47.060935974121094,67.8093032836914,34.76953887939453,54.76316833496094,115.9267349243164,63.802330017089844,20.972091674804688,21.676000595092773,155.46315002441406,55.50081253051758
2017-05-30,108.93148040771484,49.834999084472656,159.3225860595703,102.04737091064453,7.05258846282959,47.05363464355469,66.64949035644531,34.800174713134766,53.68904113769531,115.94581604003906,64.21273803710938,20.9655704498291,22.34000015258789,154.66612243652344,55.194557189941406
2017-05-31,109.5475845336914,49.73099899291992,160.66720581054688,101.67060852050781,7.078048229217529,47.34549331665039,65.25930786132812,34.830814361572266,54.23963928222656,117.11811065673828,63.69288635253906,21.30487823486328,22.733999252319336,153.43113708496094,54.78622055053711
2017-06-01,110.2692642211914,49.79750061035156,160.8452911376953,101.92491912841797,7.262639045715332,47.14849853515625,65.98220825195312,35.0759391784668,54.429203033447266,117.61376190185547,63.930023193359375,21.344026565551758,22.691333770751953,157.2848663330078,54.92231750488281
2017-06-02,110.66529846191406,50.33649826049805,161.14805603027344,100.95475006103516,7.2244462966918945,47.71760940551758,65.6485366821289,35.152549743652344,54.483367919921875,119.32933044433594,65.44391632080078,21.23310089111328,22.656667709350586,157.11849975585938,54.10563278198242
2017-06-05,111.40460205078125,50.56700134277344,162.136474609375,100.33307647705078,7.160795211791992,47.77598571777344,65.7677230834961,35.229148864746094,55.1662712097168,119.99653625488281,65.91814422607422,21.109121322631836,23.154666900634766,157.10093688964844,54.52758026123047
2017-06-06,111.18457794189453,50.150001525878906,161.575439453125,99.3723373413086,7.078048229217529,47.31631088256836,65.90276336669922,35.22148513793945,54.36124038696289,119.36746978759766,66.13699340820312,20.926416397094727,23.523332595825195,158.37091064453125,55.26940155029297
2017-06-07,111.3781967163086,50.503501892089844,162.2433319091797,99.76792907714844,7.046222686767578,46.92961502075195,66.65742492675781,34.86145782470703,54.23461151123047,119.31980895996094,66.01846313476562,20.880733489990234,23.976667404174805,160.4641876220703,55.06523895263672
2017-06-08,111.04374694824219,50.51350021362305,161.5398406982422,98.26087188720703,7.065318584442139,46.783687591552734,67.48361206054688,34.570369720458984,53.511009216308594,118.90995788574219,65.6171875,20.717605590820312,24.666667938232422,159.13290405273438,54.867881774902344
2017-06-09,110.73571014404297,48.91550064086914,160.62271118164062,99.48535919189453,7.084412097930908,47.20686340332031,69.08032989501953,34.71591567993164,53.78236389160156,117.27061462402344,64.13064575195312,21.38318634033203,23.821332931518555,158.93150329589844,55.89554214477539
2017-06-12,111.15817260742188,48.24549865722656,159.96371459960938,100.82288360595703,7.1798930168151855,47.739505767822266,69.09622192382812,34.72357177734375,53.35724639892578,115.09752655029297,63.63818359375,21.33750343322754,23.93400001525879,156.99583435058594,56.440006256103516
2017-06-13,111.83584594726562,49.03950119018555,160.73841857910156,100.37076568603516,7.173525333404541,47.53520584106445,69.32659149169922,34.77763748168945,53.556236267089844,116.58435821533203,64.43161010742188,21.25919532775879,25.06333351135254,158.5723876953125,56.46039962768555
2017-06-14,111.99427032470703,48.82350158691406,161.77139282226562,99.97515869140625,7.141700267791748,47.799991607666016,69.18359375,34.98615646362305,53.845672607421875,116.75593566894531,64.08505249023438,21.330984115600586,25.37733268737793,159.7197265625,55.85469436645508
2017-06-15,111.80064392089844,48.208499908447266,160.3376922607422,99.82444763183594,7.154428482055664,47.6675910949707,68.77052307128906,34.947547912597656,54.370296478271484,115.72659301757812,63.747623443603516,21.409282684326172,25.022666931152344,158.6379852294922,55.984012603759766
2017-06-16,112.26710510253906,49.385501861572266,148.80612182617188,99.38174438476562,7.141700267791748,47.160099029541016,68.4607162475586,34.99388885498047,54.53311538696289,116.24126434326172,63.83884048461914,21.513687133789062,24.760000228881836,159.73736572265625,56.82112121582031
2017-06-19,112.4519271850586,49.75849914550781,146.33958435058594,99.24988555908203,7.154428482055664,47.6675910949707,69.96212005615234,35.04793930053711,55.10294723510742,117.31826782226562,64.63226318359375,21.67681312561035,24.65333366394043,160.95980834960938,56.32429885864258
2017-06-20,111.36058807373047,49.62950134277344,145.05726623535156,97.9029312133789,7.078048229217529,48.241275787353516,69.52519226074219,35.22559356689453,54.569297790527344,117.16578674316406,63.756744384765625,21.898677825927734,24.81599998474121,161.17965698242188,56.0180549621582
2017-06-21,111.87104034423828,50.11149978637695,145.2799072265625,98.7129898071289,7.027126312255859,49.646087646484375,69.20743560791016,34.92437744140625,55.20244598388672,117.32781219482422,64.08505249023438,22.10747718811035,25.093332290649414,162.63076782226562,55.425941467285156
2017-06-22,107.444091796875,50.064998626708984,142.28793334960938,98.16667938232422,7.084412097930908,51.83786392211914,69.12802124023438,34.808528900146484,55.64566421508789,117.51841735839844,64.07593536376953,22.224933624267578,25.507333755493164,164.02032470703125,55.18093490600586
2017-06-23,108.02499389648438,50.1870002746582,139.91932678222656,98.29853057861328,7.027126312255859,51.86728286743164,69.00090026855469,34.947547912597656,56.00746536254883,118.19512939453125,64.94234466552734,22.296709060668945,25.56333351135254,162.92100524902344,55.541629791259766
2017-06-26,107.67292785644531,49.69900131225586,142.65301513671875,99.4382553100586,7.116238594055176,52.3968505859375,69.30276489257812,35.086570739746094,55.853694915771484,117.72809600830078,64.32218170166016,22.21188735961914,25.166000366210938,162.806640625,55.28982925415039
2017-06-27,107.54092407226562,48.8390007019043,141.81594848632812,99.28756713867188,7.05258846282959,51.962890625,69.94622039794922,34.79308319091797,55.6366081237793,116.98468780517578,63.11835861206055,22.03570556640625,24.158000946044922,162.34933471679688,55.201351165771484
2017-06-28,108.90507507324219,49.51649856567383,142.6262969970703,100.6533432006836,7.058954238891602,52.896976470947266,71.352294921875,35.00160598754883,56.088871002197266,118.95761108398438,63.65644454956055,22.02265167236328,24.749332427978516,163.3167266845703,55.48719787597656
2017-06-29,108.24498748779297,48.79650115966797,141.29953002929688,99.57012939453125,7.109875679016113,52.117347717285156,72.4088363647461,34.62316131591797,55.90797424316406,115.8123550415039,62.461727142333984,21.94434928894043,24.049999237060547,162.9385986328125,54.92231750488281
2017-06-30,108.85225677490234,48.400001525878906,142.41258239746094,100.07876586914062,7.122605800628662,52.05850601196289,72.607421875,34.638614654541016,56.20644760131836,115.75515747070312,62.863006591796875,21.918254852294922,24.107332229614258,163.07049560546875,54.9427375793457
2017-07-03,109.07232666015625,47.68299865722656,141.42416381835938,101.21847534179688,7.358116626739502,51.99967575073242,74.0851058959961,34.56911087036133,56.14313507080078,115.11658477783203,62.169864654541016,22.068328857421875,23.507999420166016,164.15225219726562,55.87511444091797
2017-07-05,109.17791748046875,48.56999969482422,140.7118377685547,99.49478149414062,7.192623138427734,52.117347717285156,74.82797241210938,34.61545181274414,57.12906265258789,116.47248840332031,62.99980545043945,21.95088005065918,21.805999755859375,165.5594024658203,55.02439880371094
2017-07-06,108.20098114013672,48.25699996948242,139.88369750976562,98.0713882446289,7.116238594055176,51.102359771728516,74.58838653564453,34.29106903076172,57.309959411621094,115.34574890136719,62.534706115722656,21.67681312561035,20.588666915893555,164.40728759765625,54.52758026123047
2017-07-07,109.3187484741211,48.9379997253418,137.23007202148438,98.04292297363281,7.16716194152832,50.93319320678711,74.96377563476562,34.28334045410156,58.10593795776367,116.68254089355469,63.34635925292969,21.761638641357422,20.881332397460938,165.30438232421875,54.595638275146484
2017-07-10,109.18670654296875,49.82350158691406,134.46070861816406,98.29912567138672,7.218080520629883,50.962615966796875,74.43660736083984,34.27562713623047,57.1019287109375,117.18858337402344,63.82060241699219,21.80079460144043,21.06999969482422,164.41603088378906,54.5548210144043
2017-07-11,109.00189208984375,49.70650100708008,134.55868530273438,98.5363540649414,7.243544578552246,51.006744384765625,74.1490478515625,34.23701858520508,55.90797424316406,118.62088775634766,63.82970428466797,21.644187927246094,21.814666748046875,163.53662109375,54.854278564453125
2017-07-12,110.42768859863281,50.32550048828125,135.12857055664062,99.04876708984375,7.30082893371582,51.33772659301758,73.8934326171875,34.37601852416992,56.15217590332031,119.62347412109375,64.88761138916016,21.67681312561035,21.968000411987305,164.18739318847656,55.09928512573242
